N36W113.hgt, ew: 100, sw: 100, (0, 0), 6.945984598459845%, 7.668403268897292
N36W113.hgt, ew: 100, sw: 100, (0, 100), 3.135250525052505%, 4.210964579628911
N36W113.hgt, ew: 100, sw: 100, (0, 200), 5.012892289228924%, 5.7268329462217755
N36W113.hgt, ew: 100, sw: 100, (0, 300), 3.76887088708871%, 3.8926038440630446
N36W113.hgt, ew: 100, sw: 100, (0, 400), 3.7052375237523725%, 3.9125458166667215
N36W113.hgt, ew: 100, sw: 100, (0, 500), 1.9596679667966799%, 2.5143427863875076
N36W113.hgt, ew: 100, sw: 100, (0, 600), 2.2228932893289315%, 2.6278646255739293
N36W113.hgt, ew: 100, sw: 100, (0, 700), 2.617974797479746%, 2.8777348798334765
N36W113.hgt, ew: 100, sw: 100, (0, 800), 8.137678767876789%, 9.197810649284433
N36W113.hgt, ew: 100, sw: 100, (0, 900), 5.239620962096208%, 8.1091563239828
N36W113.hgt, ew: 100, sw: 100, (0, 1000), 6.21439243924392%, 7.290982711783809
N36W113.hgt, ew: 100, sw: 100, (0, 1100), 5.820056005600562%, 7.094241409190852
N36W113.hgt, ew: 100, sw: 100, (0, 1200), 2.3071537153715362%, 2.6261791942519195
N36W113.hgt, ew: 100, sw: 100, (0, 1300), 2.6104080408040806%, 3.4544621930362247
N36W113.hgt, ew: 100, sw: 100, (0, 1400), 5.154414441444146%, 6.110577392888818
N36W113.hgt, ew: 100, sw: 100, (0, 1500), 3.9063306330633023%, 4.073874108707719
N36W113.hgt, ew: 100, sw: 100, (0, 1600), 6.010808080808082%, 5.758314161891037
N36W113.hgt, ew: 100, sw: 100, (0, 1700), 10.51367436743674%, 8.73087297158517
N36W113.hgt, ew: 100, sw: 100, (0, 1800), 10.499980998099808%, 8.848341944402488
N36W113.hgt, ew: 100, sw: 100, (0, 1900), 8.298238823882388%, 7.407832925160234
N36W113.hgt, ew: 100, sw: 100, (0, 2000), 9.63653665366537%, 8.713039876725174
N36W113.hgt, ew: 100, sw: 100, (0, 2100), 5.627379737973798%, 4.545574400739036
N36W113.hgt, ew: 100, sw: 100, (0, 2200), 6.276368636863685%, 5.251221463787773
N36W113.hgt, ew: 100, sw: 100, (0, 2300), 4.3701940194019375%, 4.209912772128715
N36W113.hgt, ew: 100, sw: 100, (0, 2400), 8.073256325632563%, 7.603094839181317
N36W113.hgt, ew: 100, sw: 100, (0, 2500), 6.7340564056405645%, 6.578903999926367
N36W113.hgt, ew: 100, sw: 100, (0, 2600), 15.01049204920492%, 10.643188780338924
N36W113.hgt, ew: 100, sw: 100, (0, 2700), 34.57292529252925%, 22.2022237109398
N36W113.hgt, ew: 100, sw: 100, (0, 2800), 6.110071007100718%, 6.576404709310423
N36W113.hgt, ew: 100, sw: 100, (0, 2900), 14.39157515751575%, 11.894990759915483
N36W113.hgt, ew: 100, sw: 100, (0, 3000), 13.833634363436346%, 8.359282099911969
N36W113.hgt, ew: 100, sw: 100, (0, 3100), 14.340742074207418%, 10.917382781583587
N36W113.hgt, ew: 100, sw: 100, (0, 3200), 5.470050005000503%, 4.231162758322226
N36W113.hgt, ew: 100, sw: 100, (0, 3300), 4.624312431243126%, 4.3545454468258065
N36W113.hgt, ew: 100, sw: 100, (0, 3400), 4.407050705070508%, 4.110419974499
N36W113.hgt, ew: 100, sw: 100, (0, 3500), 5.373554355435544%, 5.001475282733527
N36W113.hgt, ew: 100, sw: 100, (100, 0), 14.70571857185718%, 10.49252932725549
N36W113.hgt, ew: 100, sw: 100, (100, 100), 13.0470897089709%, 13.516259214820813
N36W113.hgt, ew: 100, sw: 100, (100, 200), 6.514731473147316%, 7.197605380711813
N36W113.hgt, ew: 100, sw: 100, (100, 300), 4.559939993999401%, 4.875141854673405
N36W113.hgt, ew: 100, sw: 100, (100, 400), 2.9101880188018803%, 3.8517998446087427
N36W113.hgt, ew: 100, sw: 100, (100, 500), 2.3473207320732072%, 3.1699733952432685
N36W113.hgt, ew: 100, sw: 100, (100, 600), 1.6865636563656352%, 1.8805107880935268
N36W113.hgt, ew: 100, sw: 100, (100, 700), 2.3870057005700582%, 3.106599787044165
N36W113.hgt, ew: 100, sw: 100, (100, 800), 8.455972597259727%, 8.833564749456917
N36W113.hgt, ew: 100, sw: 100, (100, 900), 5.351039103910392%, 5.435713807310188
N36W113.hgt, ew: 100, sw: 100, (100, 1000), 4.909641964196419%, 5.540735078651652
N36W113.hgt, ew: 100, sw: 100, (100, 1100), 3.8236723672367243%, 4.483468536737076
N36W113.hgt, ew: 100, sw: 100, (100, 1200), 4.189920992099205%, 4.803030969283209
N36W113.hgt, ew: 100, sw: 100, (100, 1300), 7.386670667066707%, 8.849824585856618
N36W113.hgt, ew: 100, sw: 100, (100, 1400), 3.7988038803880397%, 3.58869197938644
N36W113.hgt, ew: 100, sw: 100, (100, 1500), 3.0811901190119%, 2.9009886918479046
N36W113.hgt, ew: 100, sw: 100, (100, 1600), 6.652360236023604%, 5.715594195013114
N36W113.hgt, ew: 100, sw: 100, (100, 1700), 3.692473247324732%, 3.2582646211148045
N36W113.hgt, ew: 100, sw: 100, (100, 1800), 4.9519671967196714%, 4.4136955107067175
N36W113.hgt, ew: 100, sw: 100, (100, 1900), 5.893685368536853%, 5.200332083592481
N36W113.hgt, ew: 100, sw: 100, (100, 2000), 12.562760276027596%, 12.969620455828695
N36W113.hgt, ew: 100, sw: 100, (100, 2100), 13.14314231423142%, 10.605083168990298
N36W113.hgt, ew: 100, sw: 100, (100, 2200), 6.641524152415242%, 5.5156538577942875
N36W113.hgt, ew: 100, sw: 100, (100, 2300), 6.8199429942994305%, 5.90348839339436
N36W113.hgt, ew: 100, sw: 100, (100, 2400), 4.127249724972496%, 3.097516644089346
N36W113.hgt, ew: 100, sw: 100, (100, 2500), 12.86526452645266%, 8.870965350098404
N36W113.hgt, ew: 100, sw: 100, (100, 2600), 15.475698569856991%, 9.861980900494604
N36W113.hgt, ew: 100, sw: 100, (100, 2700), 45.41290729072904%, 25.838716191751203
N36W113.hgt, ew: 100, sw: 100, (100, 2800), 12.792600260025994%, 10.779744176200994
N36W113.hgt, ew: 100, sw: 100, (100, 2900), 7.572915291529154%, 6.773071722417681
N36W113.hgt, ew: 100, sw: 100, (100, 3000), 5.4466316631663165%, 4.253980717062665
