Connected 96.0%, nodes: 100, density: 315, acv: 10.0%, degree: 9.7736, population: 10.0
Connected 100.0%, nodes: 100, density: 316, acv: 10.0%, degree: 9.7424, population: 10.0
Connected 100.0%, nodes: 100, density: 315, acv: 20.0%, degree: 19.4688, population: 10.0
Connected 100.0%, nodes: 100, density: 158, acv: 20.0%, degree: 14.808, population: 10.0
Connected 100.0%, nodes: 100, density: 80, acv: 20.0%, degree: 10.0208, population: 10.0
Connected 48.0%, nodes: 100, density: 41, acv: 20.0%, degree: 5.6912, population: 10.0
Connected 32.0%, nodes: 100, density: 42, acv: 20.0%, degree: 5.936, population: 10.0
Connected 76.0%, nodes: 100, density: 60, acv: 20.0%, degree: 7.8616, population: 10.0
Connected 72.0%, nodes: 100, density: 61, acv: 20.0%, degree: 7.8664, population: 10.0
Connected 80.0%, nodes: 100, density: 70, acv: 20.0%, degree: 8.9136, population: 10.0
Connected 92.0%, nodes: 100, density: 71, acv: 20.0%, degree: 9.0736, population: 10.0
Connected 92.0%, nodes: 100, density: 75, acv: 20.0%, degree: 9.2512, population: 10.0
Connected 96.0%, nodes: 100, density: 76, acv: 20.0%, degree: 9.4592, population: 10.0
Connected 84.0%, nodes: 100, density: 77, acv: 20.0%, degree: 9.9672, population: 10.0
Connected 84.0%, nodes: 100, density: 78, acv: 20.0%, degree: 9.6656, population: 10.0
Connected 92.0%, nodes: 100, density: 79, acv: 20.0%, degree: 9.9744, population: 10.0
Connected 100.0%, nodes: 100, density: 315, acv: 30.0%, degree: 29.3024, population: 10.0
Connected 100.0%, nodes: 100, density: 158, acv: 30.0%, degree: 22.2072, population: 10.0
Connected 100.0%, nodes: 100, density: 80, acv: 30.0%, degree: 14.404, population: 10.0
Connected 80.0%, nodes: 100, density: 41, acv: 30.0%, degree: 8.4736, population: 10.0
Connected 80.0%, nodes: 100, density: 42, acv: 30.0%, degree: 8.9784, population: 10.0
Connected 100.0%, nodes: 100, density: 60, acv: 30.0%, degree: 11.9672, population: 10.0
Connected 100.0%, nodes: 100, density: 50, acv: 30.0%, degree: 10.2384, population: 10.0
Connected 88.0%, nodes: 100, density: 45, acv: 30.0%, degree: 9.1896, population: 10.0
Connected 84.0%, nodes: 100, density: 46, acv: 30.0%, degree: 9.7696, population: 10.0
Connected 96.0%, nodes: 100, density: 47, acv: 30.0%, degree: 9.7896, population: 10.0
Connected 96.0%, nodes: 100, density: 48, acv: 30.0%, degree: 10.1736, population: 10.0
Connected 92.0%, nodes: 100, density: 49, acv: 30.0%, degree: 10.0456, population: 10.0
Connected 100.0%, nodes: 100, density: 315, acv: 40.0%, degree: 38.5624, population: 10.0
Connected 100.0%, nodes: 100, density: 158, acv: 40.0%, degree: 29.904, population: 10.0
Connected 100.0%, nodes: 100, density: 80, acv: 40.0%, degree: 19.564, population: 10.0
Connected 100.0%, nodes: 100, density: 41, acv: 40.0%, degree: 11.664, population: 10.0
Connected 72.0%, nodes: 100, density: 21, acv: 40.0%, degree: 6.7184, population: 10.0
Connected 52.0%, nodes: 100, density: 22, acv: 40.0%, degree: 6.8768, population: 10.0
Connected 92.0%, nodes: 100, density: 31, acv: 40.0%, degree: 9.1184, population: 10.0
Connected 84.0%, nodes: 100, density: 32, acv: 40.0%, degree: 9.2792, population: 10.0
Connected 88.0%, nodes: 100, density: 36, acv: 40.0%, degree: 10.3528, population: 10.0
Connected 92.0%, nodes: 100, density: 37, acv: 40.0%, degree: 10.6472, population: 10.0
Connected 88.0%, nodes: 100, density: 38, acv: 40.0%, degree: 10.9904, population: 10.0
Connected 96.0%, nodes: 100, density: 39, acv: 40.0%, degree: 11.1752, population: 10.0
Connected 92.0%, nodes: 100, density: 40, acv: 40.0%, degree: 11.1784, population: 10.0
Connected 100.0%, nodes: 100, density: 315, acv: 50.0%, degree: 48.5936, population: 10.0
Connected 100.0%, nodes: 100, density: 158, acv: 50.0%, degree: 37.2632, population: 10.0
Connected 100.0%, nodes: 100, density: 80, acv: 50.0%, degree: 24.2256, population: 10.0
Connected 100.0%, nodes: 100, density: 41, acv: 50.0%, degree: 14.3544, population: 10.0
Connected 80.0%, nodes: 100, density: 21, acv: 50.0%, degree: 8.032, population: 10.0
Connected 96.0%, nodes: 100, density: 22, acv: 50.0%, degree: 8.6208, population: 10.0
Connected 92.0%, nodes: 100, density: 31, acv: 50.0%, degree: 11.492, population: 10.0
Connected 100.0%, nodes: 100, density: 32, acv: 50.0%, degree: 12.0696, population: 10.0
Connected 100.0%, nodes: 100, density: 315, acv: 60.0%, degree: 58.2584, population: 10.0
Connected 100.0%, nodes: 100, density: 158, acv: 60.0%, degree: 44.8056, population: 10.0
Connected 100.0%, nodes: 100, density: 80, acv: 60.0%, degree: 29.1992, population: 10.0
Connected 100.0%, nodes: 100, density: 41, acv: 60.0%, degree: 17.496, population: 10.0
Connected 88.0%, nodes: 100, density: 21, acv: 60.0%, degree: 9.9888, population: 10.0
Connected 92.0%, nodes: 100, density: 22, acv: 60.0%, degree: 10.2488, population: 10.0
Connected 100.0%, nodes: 100, density: 31, acv: 60.0%, degree: 13.7208, population: 10.0
Connected 100.0%, nodes: 100, density: 26, acv: 60.0%, degree: 12.1872, population: 10.0
Connected 96.0%, nodes: 100, density: 23, acv: 60.0%, degree: 10.62, population: 10.0
Connected 100.0%, nodes: 100, density: 24, acv: 60.0%, degree: 10.9888, population: 10.0
Connected 100.0%, nodes: 100, density: 315, acv: 70.0%, degree: 67.656, population: 10.0
Connected 100.0%, nodes: 100, density: 158, acv: 70.0%, degree: 52.5864, population: 10.0
