Connected 100.0%, nodes: 100, density: 315, acv: 10.0%, degree: 9.5728
Connected 80.0%, nodes: 100, density: 158, acv: 10.0%, degree: 7.5656
Connected 84.0%, nodes: 100, density: 159, acv: 10.0%, degree: 7.4032
Connected 100.0%, nodes: 100, density: 236, acv: 10.0%, degree: 8.9368
Connected 96.0%, nodes: 100, density: 197, acv: 10.0%, degree: 8.392
Connected 100.0%, nodes: 100, density: 198, acv: 10.0%, degree: 8.4096
Connected 100.0%, nodes: 100, density: 315, acv: 20.0%, degree: 19.3888
Connected 100.0%, nodes: 100, density: 158, acv: 20.0%, degree: 15.016
Connected 84.0%, nodes: 100, density: 80, acv: 20.0%, degree: 9.4376
Connected 96.0%, nodes: 100, density: 81, acv: 20.0%, degree: 9.988
Connected 96.0%, nodes: 100, density: 119, acv: 20.0%, degree: 12.7424
Connected 100.0%, nodes: 100, density: 120, acv: 20.0%, degree: 12.6792
Connected 100.0%, nodes: 100, density: 315, acv: 30.0%, degree: 28.8776
Connected 100.0%, nodes: 100, density: 158, acv: 30.0%, degree: 22.6592
Connected 100.0%, nodes: 100, density: 80, acv: 30.0%, degree: 14.5744
Connected 88.0%, nodes: 100, density: 41, acv: 30.0%, degree: 8.5672
Connected 96.0%, nodes: 100, density: 42, acv: 30.0%, degree: 8.8264
Connected 100.0%, nodes: 100, density: 60, acv: 30.0%, degree: 11.7944
Connected 92.0%, nodes: 100, density: 50, acv: 30.0%, degree: 10.104
Connected 92.0%, nodes: 100, density: 51, acv: 30.0%, degree: 10.4864
Connected 100.0%, nodes: 100, density: 55, acv: 30.0%, degree: 11.052
Connected 92.0%, nodes: 100, density: 52, acv: 30.0%, degree: 10.2712
Connected 92.0%, nodes: 100, density: 53, acv: 30.0%, degree: 10.3544
Connected 100.0%, nodes: 100, density: 54, acv: 30.0%, degree: 10.9152
Connected 100.0%, nodes: 100, density: 315, acv: 40.0%, degree: 38.4136
Connected 100.0%, nodes: 100, density: 158, acv: 40.0%, degree: 29.8816
Connected 100.0%, nodes: 100, density: 80, acv: 40.0%, degree: 19.368
Connected 96.0%, nodes: 100, density: 41, acv: 40.0%, degree: 11.7832
Connected 100.0%, nodes: 100, density: 42, acv: 40.0%, degree: 11.6912
Connected 100.0%, nodes: 100, density: 315, acv: 50.0%, degree: 48.4288
Connected 100.0%, nodes: 100, density: 158, acv: 50.0%, degree: 37.0296
Connected 100.0%, nodes: 100, density: 80, acv: 50.0%, degree: 24.376
Connected 100.0%, nodes: 100, density: 41, acv: 50.0%, degree: 14.3944
Connected 56.0%, nodes: 100, density: 21, acv: 50.0%, degree: 8.2264
Connected 76.0%, nodes: 100, density: 22, acv: 50.0%, degree: 8.7304
Connected 100.0%, nodes: 100, density: 31, acv: 50.0%, degree: 11.4664
Connected 92.0%, nodes: 100, density: 26, acv: 50.0%, degree: 9.844
Connected 92.0%, nodes: 100, density: 27, acv: 50.0%, degree: 10.2696
Connected 92.0%, nodes: 100, density: 28, acv: 50.0%, degree: 10.504
Connected 96.0%, nodes: 100, density: 29, acv: 50.0%, degree: 11.024
Connected 100.0%, nodes: 100, density: 30, acv: 50.0%, degree: 11.3664
Connected 100.0%, nodes: 100, density: 315, acv: 60.0%, degree: 57.8528
Connected 100.0%, nodes: 100, density: 158, acv: 60.0%, degree: 44.9096
Connected 100.0%, nodes: 100, density: 80, acv: 60.0%, degree: 29.3144
Connected 100.0%, nodes: 100, density: 41, acv: 60.0%, degree: 17.272
Connected 100.0%, nodes: 100, density: 21, acv: 60.0%, degree: 9.916
Connected 28.0%, nodes: 100, density: 11, acv: 60.0%, degree: 5.5064
Connected 48.0%, nodes: 100, density: 12, acv: 60.0%, degree: 5.9392
Connected 76.0%, nodes: 100, density: 16, acv: 60.0%, degree: 7.6232
