Connected 60.49%, nodes: 100, density: 50, acv: 10.0%, degree: 4.99921
Connected 61.95%, nodes: 100, density: 51, acv: 10.0%, degree: 5.102114
Connected 95.95%, nodes: 100, density: 74, acv: 10.0%, degree: 7.399926
Connected 96.52%, nodes: 100, density: 75, acv: 10.0%, degree: 7.501618
Connected 98.94%, nodes: 100, density: 86, acv: 10.0%, degree: 8.604716
Connected 98.98%, nodes: 100, density: 87, acv: 10.0%, degree: 8.696526
Connected 99.37%, nodes: 100, density: 92, acv: 10.0%, degree: 9.200956
Connected 99.31%, nodes: 100, density: 93, acv: 10.0%, degree: 9.29701
Connected 99.6%, nodes: 100, density: 95, acv: 10.0%, degree: 9.49589
Connected 99.63%, nodes: 100, density: 96, acv: 10.0%, degree: 9.603748
Connected 99.57%, nodes: 100, density: 97, acv: 10.0%, degree: 9.698714
Connected 99.71%, nodes: 100, density: 98, acv: 10.0%, degree: 9.802642
Connected 99.62%, nodes: 100, density: 99, acv: 10.0%, degree: 9.897964
Connected 99.9%, nodes: 100, density: 50, acv: 20.0%, degree: 10.00264
Connected 99.92%, nodes: 100, density: 51, acv: 20.0%, degree: 10.210756
Connected 100.0%, nodes: 100, density: 74, acv: 20.0%, degree: 14.799708
Connected 99.97%, nodes: 100, density: 62, acv: 20.0%, degree: 12.402362
Connected 100.0%, nodes: 100, density: 63, acv: 20.0%, degree: 12.59301
Connected 100.0%, nodes: 100, density: 50, acv: 30.0%, degree: 15.007896
Connected 99.12%, nodes: 100, density: 26, acv: 30.0%, degree: 7.799078
Connected 99.25%, nodes: 100, density: 27, acv: 30.0%, degree: 8.097262
Connected 99.99%, nodes: 100, density: 38, acv: 30.0%, degree: 11.399426
Connected 100.0%, nodes: 100, density: 39, acv: 30.0%, degree: 11.699548
Connected 100.0%, nodes: 100, density: 50, acv: 40.0%, degree: 19.998658
Connected 100.0%, nodes: 100, density: 26, acv: 40.0%, degree: 10.4016
Connected 92.66%, nodes: 100, density: 14, acv: 40.0%, degree: 5.600228
Connected 95.16%, nodes: 100, density: 15, acv: 40.0%, degree: 6.002404
Connected 99.62%, nodes: 100, density: 20, acv: 40.0%, degree: 8.001228
Connected 99.74%, nodes: 100, density: 21, acv: 40.0%, degree: 8.394994
Connected 99.95%, nodes: 100, density: 23, acv: 40.0%, degree: 9.201912
Connected 99.95%, nodes: 100, density: 24, acv: 40.0%, degree: 9.595022
Connected 99.98%, nodes: 100, density: 25, acv: 40.0%, degree: 10.0004
Connected 100.0%, nodes: 100, density: 50, acv: 50.0%, degree: 25.009572
Connected 100.0%, nodes: 100, density: 26, acv: 50.0%, degree: 13.001814
Connected 99.42%, nodes: 100, density: 14, acv: 50.0%, degree: 6.997074
Connected 99.64%, nodes: 100, density: 15, acv: 50.0%, degree: 7.500922
Connected 99.99%, nodes: 100, density: 20, acv: 50.0%, degree: 9.997396
Connected 99.99%, nodes: 100, density: 21, acv: 50.0%, degree: 10.495838
Connected 100.0%, nodes: 100, density: 23, acv: 50.0%, degree: 11.498376
Connected 100.0%, nodes: 100, density: 22, acv: 50.0%, degree: 10.999016
Connected 100.0%, nodes: 100, density: 50, acv: 60.0%, degree: 30.003386
Connected 100.0%, nodes: 100, density: 26, acv: 60.0%, degree: 15.595522
Connected 99.99%, nodes: 100, density: 14, acv: 60.0%, degree: 8.401074
Connected 99.98%, nodes: 100, density: 15, acv: 60.0%, degree: 8.998632
Connected 100.0%, nodes: 100, density: 20, acv: 60.0%, degree: 12.001692
Connected 99.99%, nodes: 100, density: 17, acv: 60.0%, degree: 10.198412
Connected 100.0%, nodes: 100, density: 18, acv: 60.0%, degree: 10.79837
Connected 100.0%, nodes: 100, density: 50, acv: 70.0%, degree: 35.00231
Connected 100.0%, nodes: 100, density: 26, acv: 70.0%, degree: 18.197578
Connected 100.0%, nodes: 100, density: 14, acv: 70.0%, degree: 9.800108
Connected 99.3%, nodes: 100, density: 8, acv: 70.0%, degree: 5.598882
Connected 99.84%, nodes: 100, density: 9, acv: 70.0%, degree: 6.300674
Connected 99.98%, nodes: 100, density: 11, acv: 70.0%, degree: 7.697632
Connected 99.99%, nodes: 100, density: 12, acv: 70.0%, degree: 8.400458
Connected 100.0%, nodes: 100, density: 13, acv: 70.0%, degree: 9.09771
Connected 100.0%, nodes: 100, density: 50, acv: 80.0%, degree: 40.004248
Connected 100.0%, nodes: 100, density: 26, acv: 80.0%, degree: 20.804896
Connected 100.0%, nodes: 100, density: 14, acv: 80.0%, degree: 11.201536
