Connected 52.0%, nodes: 100, density: 50, acv: 30.0%, degree: 13.619471779
Connected 52.0%, nodes: 100, density: 51, acv: 30.0%, degree: 13.7834590806
Connected 64.0%, nodes: 100, density: 74, acv: 30.0%, degree: 16.7958240363
Connected 64.0%, nodes: 100, density: 75, acv: 30.0%, degree: 16.9073411668
Connected 64.0%, nodes: 100, density: 86, acv: 30.0%, degree: 18.0515281798
Connected 64.0%, nodes: 100, density: 87, acv: 30.0%, degree: 18.145380334
Connected 64.0%, nodes: 100, density: 92, acv: 30.0%, degree: 18.6382621315
Connected 64.0%, nodes: 100, density: 93, acv: 30.0%, degree: 18.7264653061
Connected 64.0%, nodes: 100, density: 95, acv: 30.0%, degree: 18.960927149
Connected 64.0%, nodes: 100, density: 96, acv: 30.0%, degree: 19.0579464853
Connected 64.0%, nodes: 100, density: 97, acv: 30.0%, degree: 19.1510065553
Connected 64.0%, nodes: 100, density: 98, acv: 30.0%, degree: 19.2521479283
Connected 64.0%, nodes: 100, density: 99, acv: 30.0%, degree: 19.3499266955
Connected 40.0%, nodes: 100, density: 50, acv: 40.0%, degree: 14.4758956092
Connected 44.0%, nodes: 100, density: 51, acv: 40.0%, degree: 14.6776291899
Connected 52.0%, nodes: 100, density: 74, acv: 40.0%, degree: 18.4705292929
Connected 52.0%, nodes: 100, density: 75, acv: 40.0%, degree: 18.6414868687
Connected 52.0%, nodes: 100, density: 86, acv: 40.0%, degree: 20.3218585859
Connected 56.0%, nodes: 100, density: 87, acv: 40.0%, degree: 20.4606626263
Connected 60.0%, nodes: 100, density: 92, acv: 40.0%, degree: 21.2039353535
Connected 60.0%, nodes: 100, density: 93, acv: 40.0%, degree: 21.3458828283
Connected 60.0%, nodes: 100, density: 95, acv: 40.0%, degree: 21.6500525253
Connected 60.0%, nodes: 100, density: 96, acv: 40.0%, degree: 21.8024888889
Connected 60.0%, nodes: 100, density: 97, acv: 40.0%, degree: 21.9252848485
Connected 60.0%, nodes: 100, density: 98, acv: 40.0%, degree: 22.0769292929
Connected 60.0%, nodes: 100, density: 99, acv: 40.0%, degree: 22.2341010101
Connected 52.0%, nodes: 100, density: 50, acv: 50.0%, degree: 15.8238634508
Connected 52.0%, nodes: 100, density: 51, acv: 50.0%, degree: 16.0745334158
Connected 56.0%, nodes: 100, density: 74, acv: 50.0%, degree: 20.785603793
Connected 56.0%, nodes: 100, density: 75, acv: 50.0%, degree: 21.027188456
Connected 60.0%, nodes: 100, density: 86, acv: 50.0%, degree: 23.1949780251
Connected 60.0%, nodes: 100, density: 87, acv: 50.0%, degree: 23.3670789528
Connected 60.0%, nodes: 100, density: 92, acv: 50.0%, degree: 24.3579999175
Connected 60.0%, nodes: 100, density: 93, acv: 50.0%, degree: 24.5446712018
Connected 60.0%, nodes: 100, density: 95, acv: 50.0%, degree: 24.9581701093
Connected 60.0%, nodes: 100, density: 96, acv: 50.0%, degree: 25.164979262
Connected 60.0%, nodes: 100, density: 97, acv: 50.0%, degree: 25.3402897547
Connected 60.0%, nodes: 100, density: 98, acv: 50.0%, degree: 25.5421778602
Connected 60.0%, nodes: 100, density: 99, acv: 50.0%, degree: 25.74896376
Connected 76.0%, nodes: 100, density: 50, acv: 60.0%, degree: 20.7067182849
Connected 80.0%, nodes: 100, density: 51, acv: 60.0%, degree: 21.0475941455
Connected 80.0%, nodes: 100, density: 74, acv: 60.0%, degree: 27.328368254
Connected 80.0%, nodes: 100, density: 75, acv: 60.0%, degree: 27.6114978355
Connected 80.0%, nodes: 100, density: 86, acv: 60.0%, degree: 30.3783638837
Connected 80.0%, nodes: 100, density: 87, acv: 60.0%, degree: 30.610874294
Connected 80.0%, nodes: 100, density: 92, acv: 60.0%, degree: 31.7788686869
Connected 80.0%, nodes: 100, density: 93, acv: 60.0%, degree: 32.0137616162
Connected 80.0%, nodes: 100, density: 95, acv: 60.0%, degree: 32.5260363636
Connected 80.0%, nodes: 100, density: 96, acv: 60.0%, degree: 32.7561777778
Connected 80.0%, nodes: 100, density: 97, acv: 60.0%, degree: 32.9702060606
Connected 80.0%, nodes: 100, density: 98, acv: 60.0%, degree: 33.2203555556
Connected 80.0%, nodes: 100, density: 99, acv: 60.0%, degree: 33.4665212121
Connected 80.0%, nodes: 100, density: 50, acv: 70.0%, degree: 23.725572954
Connected 80.0%, nodes: 100, density: 51, acv: 70.0%, degree: 24.1001568336
Connected 84.0%, nodes: 100, density: 74, acv: 70.0%, degree: 31.4716606061
Connected 84.0%, nodes: 100, density: 75, acv: 70.0%, degree: 31.8089050505
Connected 84.0%, nodes: 100, density: 86, acv: 70.0%, degree: 35.1645252525
