Connected 99.83%, nodes: 100, density: 50, acv: 0.2, degree: 9.99457477712
Connected 99.85%, nodes: 100, density: 51, acv: 0.2, degree: 10.1931477216
Connected 100.0%, nodes: 100, density: 74, acv: 0.2, degree: 14.801098
Connected 100.0%, nodes: 100, density: 62, acv: 0.2, degree: 12.397842
Connected 99.92%, nodes: 100, density: 56, acv: 0.2, degree: 11.202520016
Connected 99.99%, nodes: 100, density: 57, acv: 0.2, degree: 11.3994439444
Connected 99.98%, nodes: 100, density: 59, acv: 0.2, degree: 11.8040088018
Connected 100.0%, nodes: 100, density: 60, acv: 0.2, degree: 11.998138
Connected 100.0%, nodes: 100, density: 50, acv: 0.3, degree: 14.991374
Connected 98.92%, nodes: 100, density: 26, acv: 0.3, degree: 7.79576627578
Connected 99.31%, nodes: 100, density: 27, acv: 0.3, degree: 8.09296747558
Connected 99.98%, nodes: 100, density: 38, acv: 0.3, degree: 11.3995319064
Connected 99.99%, nodes: 100, density: 39, acv: 0.3, degree: 11.7023222322
Connected 100.0%, nodes: 100, density: 44, acv: 0.3, degree: 13.20141
Connected 99.99%, nodes: 100, density: 41, acv: 0.3, degree: 12.3026162616
Connected 100.0%, nodes: 100, density: 42, acv: 0.3, degree: 12.601448
Connected 100.0%, nodes: 100, density: 50, acv: 0.4, degree: 19.991372
Connected 100.0%, nodes: 100, density: 26, acv: 0.4, degree: 10.401468
Connected 92.3%, nodes: 100, density: 14, acv: 0.4, degree: 5.60629035753
Connected 95.57%, nodes: 100, density: 15, acv: 0.4, degree: 6.00592445328
Connected 99.63%, nodes: 100, density: 20, acv: 0.4, degree: 7.9995322694
Connected 99.76%, nodes: 100, density: 21, acv: 0.4, degree: 8.40236768244
Connected 99.87%, nodes: 100, density: 23, acv: 0.4, degree: 9.20113948133
Connected 99.96%, nodes: 100, density: 24, acv: 0.4, degree: 9.59644657863
Connected 99.98%, nodes: 100, density: 25, acv: 0.4, degree: 10.0006181236
Connected 100.0%, nodes: 100, density: 50, acv: 0.5, degree: 25.004522
Connected 100.0%, nodes: 100, density: 26, acv: 0.5, degree: 12.998508
Connected 99.37%, nodes: 100, density: 14, acv: 0.5, degree: 7.00053738553
Connected 99.71%, nodes: 100, density: 15, acv: 0.5, degree: 7.49747267075
Connected 100.0%, nodes: 100, density: 20, acv: 0.5, degree: 10.000712
Connected 99.93%, nodes: 100, density: 17, acv: 0.5, degree: 8.4969398579
Connected 99.96%, nodes: 100, density: 18, acv: 0.5, degree: 9.00132452981
Connected 99.99%, nodes: 100, density: 19, acv: 0.5, degree: 9.49926192619
Connected 100.0%, nodes: 100, density: 50, acv: 0.6, degree: 29.997704
Connected 100.0%, nodes: 100, density: 26, acv: 0.6, degree: 15.603414
Connected 100.0%, nodes: 100, density: 14, acv: 0.6, degree: 8.3972
Connected 93.6%, nodes: 100, density: 8, acv: 0.6, degree: 4.80745299145
Connected 97.54%, nodes: 100, density: 9, acv: 0.6, degree: 5.40123846627
Connected 99.55%, nodes: 100, density: 11, acv: 0.6, degree: 6.59989753893
Connected 99.79%, nodes: 100, density: 12, acv: 0.6, degree: 7.1995911414
Connected 99.96%, nodes: 100, density: 13, acv: 0.6, degree: 7.79601640656
Connected 100.0%, nodes: 100, density: 50, acv: 0.7, degree: 34.994472
Connected 100.0%, nodes: 100, density: 26, acv: 0.7, degree: 18.204996
Connected 100.0%, nodes: 100, density: 14, acv: 0.7, degree: 9.798256
Connected 99.29%, nodes: 100, density: 8, acv: 0.7, degree: 5.60215328835
Connected 99.87%, nodes: 100, density: 9, acv: 0.7, degree: 6.30155402023
Connected 99.96%, nodes: 100, density: 11, acv: 0.7, degree: 7.7012264906
Connected 100.0%, nodes: 100, density: 12, acv: 0.7, degree: 8.396596
Connected 100.0%, nodes: 100, density: 50, acv: 0.8, degree: 39.993272
Connected 100.0%, nodes: 100, density: 26, acv: 0.8, degree: 20.799584
Connected 100.0%, nodes: 100, density: 14, acv: 0.8, degree: 11.195512
Connected 100.0%, nodes: 100, density: 8, acv: 0.8, degree: 6.398736
Connected 96.35%, nodes: 100, density: 5, acv: 0.8, degree: 4.00137415672
Connected 99.32%, nodes: 100, density: 6, acv: 0.8, degree: 4.7992408377
Connected 99.89%, nodes: 100, density: 7, acv: 0.8, degree: 5.59988987887
Connected 100.0%, nodes: 100, density: 50, acv: 0.9, degree: 45.001568
Connected 100.0%, nodes: 100, density: 26, acv: 0.9, degree: 23.396878
Connected 100.0%, nodes: 100, density: 14, acv: 0.9, degree: 12.600546
Connected 100.0%, nodes: 100, density: 8, acv: 0.9, degree: 7.20064
Connected 99.86%, nodes: 100, density: 5, acv: 0.9, degree: 4.49980572802
Connected 99.99%, nodes: 100, density: 6, acv: 0.9, degree: 5.39832183218
Connected 100.0%, nodes: 100, density: 7, acv: 0.9, degree: 6.300782
Connected 100.0%, nodes: 100, density: 50, acv: 1.0, degree: 50.0
Connected 100.0%, nodes: 100, density: 26, acv: 1.0, degree: 26.0
Connected 100.0%, nodes: 100, density: 14, acv: 1.0, degree: 14.0
Connected 100.0%, nodes: 100, density: 8, acv: 1.0, degree: 8.0
Connected 100.0%, nodes: 100, density: 5, acv: 1.0, degree: 5.0
Connected 100.0%, nodes: 100, density: 3, acv: 1.0, degree: 3.0
Connected 100.0%, nodes: 100, density: 2, acv: 1.0, degree: 2.0
