Time 14.81s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 12.3s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.53s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.86s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 11.38s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.35s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.52s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 10.2s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 11.78s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 10.39s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 10.91s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 11.19s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 10.63s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 10.63s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 10.06s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 10.55s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 10.59s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 11.8s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 10.37s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.59s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.7s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.48s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 9.66s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.04s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 10.23s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 10.77s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 11.05s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 9.96s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 12.33s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 11.2s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 10.62s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 11.09s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 11.3s, nodes: 1, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 11.51s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 10.32s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 10.71s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 10.55s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 10.82s, nodes: 1, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 11.01s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 11.02s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 11.03s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.29s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 11.34s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 10.45s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 11.05s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 11.27s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 11.83s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 11.63s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 10.77s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 11.25s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 11.1s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 10.93s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 11.1s, nodes: 1, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 11.11s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 10.48s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 11.2s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 10.15s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 10.86s, nodes: 1, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
