Time 5.15s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.05s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.07s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 4.98s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.69s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.21s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.01s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.04s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.03s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.07s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.0s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.05s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.09s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.14s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.07s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.16s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.0s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.1s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.03s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.01s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 4.99s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.0s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.24s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.12s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.08s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.11s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.53s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 6.94s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 6.06s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.76s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.54s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.7s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.54s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.65s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.51s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.55s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.56s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.56s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.52s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.47s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.74s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.58s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
