N37W122.hgt, ew: 18, sw: 18, eo: 702, so: 648, acv: 30.0%, density: 25, pop: 30, time: 15000
N37W121.hgt, ew: 18, sw: 18, eo: 3528, so: 1980, acv: 30.0%, density: 25, pop: 30, time: 15000
N36W117.hgt, ew: 18, sw: 18, eo: 72, so: 2556, acv: 30.0%, density: 25, pop: 30, time: 15000
N37W122.hgt, ew: 18, sw: 18, eo: 1188, so: 2088, acv: 30.0%, density: 25, pop: 30, time: 15000
N37W121.hgt, ew: 18, sw: 18, eo: 846, so: 3186, acv: 30.0%, density: 25, pop: 30, time: 15000
N37W121.hgt, ew: 18, sw: 18, eo: 1728, so: 1386, acv: 30.0%, density: 25, pop: 30, time: 15000
N36W117.hgt, ew: 18, sw: 18, eo: 162, so: 1458, acv: 100.0%, density: 25, pop: 30, time: 720000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_beycjavo_testlog.txt, energy: 0.95041322314, energy_std: 1.62038277117, max_energy: 1.63636363636
N36W117.hgt, ew: 18, sw: 18, eo: 162, so: 1458, acv: 100.0%, density: 25, pop: 30, time: 720000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_beycjavo_testlog.txt, energy: 0.560146923783, energy_std: 1.10940150333, max_energy: 1.27272727273
N37W122.hgt, ew: 18, sw: 18, eo: 1908, so: 90, acv: 100.0%, density: 25, pop: 30, time: 1200000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_blhccjqk_testlog.txt, energy: 0.629452418926, energy_std: 1.31703118851, max_energy: 1.15789473684
N37W122.hgt, ew: 18, sw: 18, eo: 1908, so: 90, acv: 100.0%, density: 25, pop: 30, time: 1200000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_blhccjqk_testlog.txt, energy: 0.342902711324, energy_std: 0.969450358971, max_energy: 0.894736842105
N36W117.hgt, ew: 18, sw: 18, eo: 486, so: 2790, acv: 100.0%, density: 25, pop: 30, time: 720000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_cbffyxjm_testlog.txt, energy: 0.955922865014, energy_std: 1.63408491662, max_energy: 1.36363636364
N36W117.hgt, ew: 18, sw: 18, eo: 486, so: 2790, acv: 100.0%, density: 25, pop: 30, time: 720000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_cbffyxjm_testlog.txt, energy: 0.516069788797, energy_std: 1.09341831739, max_energy: 1.18181818182
N36W117.hgt, ew: 18, sw: 18, eo: 90, so: 1818, acv: 100.0%, density: 25, pop: 30, time: 1200000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_lofyvtvs_testlog.txt, energy: 0.552365762892, energy_std: 1.22378778837, max_energy: 0.894736842105
N36W117.hgt, ew: 18, sw: 18, eo: 90, so: 1818, acv: 100.0%, density: 25, pop: 30, time: 1200000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_lofyvtvs_testlog.txt, energy: 0.320042530569, energy_std: 0.913986773257, max_energy: 0.684210526316
N37W122.hgt, ew: 18, sw: 18, eo: 1836, so: 324, acv: 100.0%, density: 25, pop: 30, time: 720000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_ltvtoeya_testlog.txt, energy: 1.00734618916, energy_std: 1.67407204137, max_energy: 1.63636363636
N37W122.hgt, ew: 18, sw: 18, eo: 1836, so: 324, acv: 100.0%, density: 25, pop: 30, time: 720000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_ltvtoeya_testlog.txt, energy: 0.505050505051, energy_std: 1.10272315996, max_energy: 1.0
N36W117.hgt, ew: 18, sw: 18, eo: 198, so: 1710, acv: 100.0%, density: 25, pop: 30, time: 1200000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_luwferwo_testlog.txt, energy: 0.643274853801, energy_std: 1.36283888955, max_energy: 0.947368421053
N36W117.hgt, ew: 18, sw: 18, eo: 198, so: 1710, acv: 100.0%, density: 25, pop: 30, time: 1200000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_luwferwo_testlog.txt, energy: 0.29346092504, energy_std: 0.859017145855, max_energy: 0.789473684211
