Nodes: 1, Area: 10000, Total Time: 22, Terrain Creation: 18, Node LOS Calculations: 4
Nodes: 1, Area: 10000, Total Time: 17, Terrain Creation: 13, Node LOS Calculations: 4
Nodes: 1, Area: 10000, Total Time: 15, Terrain Creation: 12, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 18, Terrain Creation: 15, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 21, Terrain Creation: 18, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 18, Terrain Creation: 15, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 18, Terrain Creation: 15, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 16, Terrain Creation: 13, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 20, Terrain Creation: 17, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 16, Terrain Creation: 13, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 19, Terrain Creation: 16, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 17, Terrain Creation: 15, Node LOS Calculations: 2
Nodes: 1, Area: 10000, Total Time: 16, Terrain Creation: 14, Node LOS Calculations: 2
Nodes: 1, Area: 10000, Total Time: 18, Terrain Creation: 16, Node LOS Calculations: 2
Nodes: 1, Area: 10000, Total Time: 17, Terrain Creation: 15, Node LOS Calculations: 2
Nodes: 1, Area: 10000, Total Time: 22, Terrain Creation: 19, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 18, Terrain Creation: 14, Node LOS Calculations: 4
Nodes: 1, Area: 10000, Total Time: 20, Terrain Creation: 17, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 16, Terrain Creation: 13, Node LOS Calculations: 3
Nodes: 1, Area: 10000, Total Time: 23, Terrain Creation: 20, Node LOS Calculations: 3
Nodes: 101, Area: 10000, Total Time: 47, Terrain Creation: 14, Node LOS Calculations: 33
Nodes: 101, Area: 10000, Total Time: 44, Terrain Creation: 12, Node LOS Calculations: 32
Nodes: 101, Area: 10000, Total Time: 43, Terrain Creation: 14, Node LOS Calculations: 29
Nodes: 101, Area: 10000, Total Time: 42, Terrain Creation: 15, Node LOS Calculations: 27
Nodes: 101, Area: 10000, Total Time: 46, Terrain Creation: 14, Node LOS Calculations: 32
